original_index,type,node,option_a,option_b,ground_truth,model_choice,is_correct,status
2,preposition,beginning,at the beginning of this,in the beginning of this,A,A,1,success
6,preposition,end,at the end of the,in the end of the,A,A,1,success
9,preposition,end,at the end of a,in the end of a,A,A,1,success
5,preposition,end,at the end,in the end,B,A,0,success
4,preposition,beginning,in the beginning of a,at the beginning of a,B,A,0,success
1,preposition,beginning,at the beginning of the,in the beginning of the,A,A,1,success
7,preposition,end,at the end of this,in the end of this,A,A,1,success
0,preposition,beginning,at the beginning,in the beginning,B,A,0,success
3,preposition,beginning,at the beginning of each,in the beginning of each,A,A,1,success
8,preposition,end,at the end of each,in the end of each,A,A,1,success
10,article,half,more than half of,more than a half of,A,A,1,success
12,article,half,over half of,over a half of,A,A,1,success
11,article,half,less than a half of,less than half of,B,A,0,success
15,article,half,only a half of,only half of,B,B,1,success
16,article,half,half of the total,the half of the total,A,A,1,success
13,article,half,almost half of,almost a half of,A,A,1,success
25,preposition,same,the same as those,the same than those,A,A,1,success
17,article,half,the half of the world,half of the world,B,B,1,success
18,article,half,the half of the participants,half of the participants,B,B,1,success
14,article,half,nearly half of,nearly a half of,A,A,1,success
22,preposition,hand,in the other hand,on the other hand,B,B,1,success
24,preposition,same,the same as that,the same than that,A,A,1,success
19,"preposition, article",hand,in one hand,on the one hand,B,B,1,success
21,preposition,hand,in the on hand,on the one hand,B,B,1,success
27,formality,do,do research,conduct research,B,B,1,success
31,formality,bit,a bit complex,rather complex,B,A,0,success
33,formality,bit,somewhat misleading,a bit misleading,A,A,1,success
29,formality,bit,rather different,a bit different,A,A,1,success
26,preposition,same,the same than in,the same as in,B,B,1,success
28,formality,do,do projects,undertake projects,B,B,1,success
20,article,hand,on the one hand,on one hand,A,A,1,success
30,formality,bit,rather small,a bit small,A,A,1,success
32,formality,bit,a bit similar,somewhat similar,B,A,0,success
23,preposition,same,the same as the,the same than the,A,A,1,success
34,formality,bit,somewhat surprising,a bit surprising,A,A,1,success
35,formality,lot,a lot more,much more,B,A,0,success
38,formality,lot,much higher,a lot higher,A,A,1,success
36,formality,lot,a lot larger,much larger,B,A,0,success
37,formality,lot,much greater,a lot greater,A,A,1,success
44,formality,lot,a lot of ways,many ways,B,A,0,success
42,formality,lot,a lot of people,many people,B,B,1,success
39,formality,lot,a lot less,much less,B,A,0,success
45,formality,lot,a lot of different,many different,B,B,1,success
47,formality,lot,a lot of work,much work,B,A,0,success
46,formality,lot,much research,a lot of research,A,A,1,success
41,formality,lot,much lower,a lot lower,A,A,1,success
52,formality,till,till recently,until recently,B,B,1,success
49,formality,till,until the,till the,A,A,1,success
50,formality,till,till they,until they,B,A,0,success
48,formality,lot,a lot of attention,much attention,B,A,0,success
43,formality,lot,many cases,a lot of cases,A,A,1,success
40,formality,lot,a lot smaller,much smaller,B,B,1,success
54,formality,till,until after,till after,A,A,1,success
53,formality,till,until now,till now,A,A,1,success
56, ing & to,ability,ability of using,ability to use,B,A,0,success
57, ing & to,ability,ability to make,ability of making,A,A,1,success
58, ing & to,ability,ability to control,ability of controlling,A,A,1,success
51,formality,till,until it,till it,A,A,1,success
60, ing & to,ability,ability to provide,ability of providing,A,A,1,success
61, ing & to,afford,afford paying,afford to pay,B,A,0,success
63, ing & to,afford,afford to ignore,afford ignoring,A,A,1,success
59, ing & to,ability,ability to be,ability of being,A,A,1,success
68, ing & to,contribute,contribute to improving,contribute to improve,A,A,1,success
65, ing & to,avoid,avoid being,avoid to be,A,A,1,success
55, ing & to,ability,ability of producing,ability to produce,B,A,0,success
66, ing & to,avoid,avoid to use,avoid using,B,B,1,success
69, ing & to,contribute,contribute to understand,contribute to understanding,B,B,1,success
71, ing & to,contribute,contribute to reduce,contribute to reducing,B,A,0,success
73, ing & to,possibility,possibility to be,possibility of being,B,A,0,success
76, ing & to,possibility,possibility of developing,possibility to develop,A,A,1,success
75, ing & to,possibility,possibility of having,possibility to have,A,A,1,success
77, ing & to,right,right of having,right to have,B,A,0,success
74, ing & to,possibility,possibility to make,possibility of making,B,A,0,success
64, ing & to,afford,afford to lose,afford losing,A,A,1,success
80, ing & to,right,right to participate,right of participating,A,A,1,success
67, ing & to,avoid,avoid making,avoid to make,A,A,1,success
70, ing & to,contribute,contribute to strengthen,contribute to strengthening,B,A,0,success
72, ing & to,possibility,possibility of using,possibility to use,A,A,1,success
79, ing & to,right,right of making,right to make,B,A,0,success
78, ing & to,right,right of using,right to use,B,B,1,success
83, ing & to,risk,risk losing,risk to lose,A,A,1,success
81, ing & to,right,right of working,right to work,B,B,1,success
82, ing & to,risk,risk to be,risk being,B,A,0,success
84, ing & to,spend,spent to work,spent working,B,A,0,success
90, ing & to,stop,stop to do,stop doing,B,A,0,success
88, ing & to,stop,stop to work,stop working,B,A,0,success
91, ing & to,suggest,suggest using,suggest to use,A,A,1,success
87, ing & to,spend,spent to wait for,spent waiting for,B,A,0,success
89, ing & to,stop,stop to use,stop using,B,A,0,success
92, ing & to,suggest,suggest to adopt,suggest adopting,B,A,0,success
85, ing & to,spend,spent to watch,spent watching,B,A,0,success
86, ing & to,spend,spent to look for,spent looking for,B,A,0,success
94, ing & to,tendency,tendency to be,tendency of being,A,A,1,success
99, ing & to,think,think about trying,think to try,A,A,1,success
100, ing & to,think,think to use,think about using,B,B,1,success
95, ing & to,tendency,tendency of using,tendency to use,B,A,0,success
97, ing & to,tendency,tendency of forming,tendency to form,B,A,0,success
96, ing & to,tendency,tendency of seeing,tendency to see,B,A,0,success
98, ing & to,think,think about quitting,think to quit,A,A,1,success
93, ing & to,suggest,suggest to add,suggest adding,B,B,1,success
102, ing & to,worth,worth to consider,worth considering,B,B,1,success
108,preposition,agree,agree the view that,agree with the view that,B,B,1,success
105, ing & to,worth,worth pointing out,worth to point out,A,A,1,success
103, ing & to,worth,worth to mention,worth mentioning,B,B,1,success
104, ing & to,worth,worth to remember,worth remembering,B,B,1,success
111,preposition,agree,agree to the idea,agree with the idea,B,B,1,success
110,preposition,agree,agree with this conclusion,agree to this conclusion,A,A,1,success
112,preposition,arrive,arrive at a conclusion,arrive to a conclusion,A,A,1,success
106, ing & to,worth,worth to emphasize,worth emphasizing,B,B,1,success
107, ing & to,worth,worth to explore,worth exploring,B,B,1,success
109,preposition,agree,agree with the statement,agree the statement,A,A,1,success
113,preposition,arrive,arrive at a decision,arrive to a decision,A,A,1,success
116,preposition,ask,ask to students,ask students,B,B,1,success
118,preposition,based,based on previous,based in previous,A,A,1,success
119,preposition,based,based in evidence,based on evidence,B,B,1,success
122,preposition,change,change of price,change in price,B,B,1,success
120,preposition,change,change of the rate,change in the rate,B,B,1,success
115,preposition,ask,ask participants,ask to participants,A,A,1,success
114,preposition,ask,ask users,ask to users,A,A,1,success
117,preposition,based,based on data,based in data,A,A,1,success
121,preposition,change,change in behaviour,change of behaviour,A,A,1,success
123,preposition,change,change in level,change of level,A,A,1,success
128,preposition,control,take control over,take control of,B,A,0,success
131,preposition,decrease,a decrease in size,a decrease of size,A,A,1,success
132,preposition,decrease,a decrease in frequency,a decrease of frequency,A,A,1,success
124,preposition,change,change in temperature,change of temperature,A,A,1,success
129,preposition,control,exercise control of,exercise control over,B,A,0,success
127,preposition,control,lose control over,lose control of,B,A,0,success
126,preposition,change,change of circumstances,change in circumstances,A,A,1,success
125,preposition,change,change in state,change of state,B,A,0,success
130,preposition,control,exert control of,exert control over,B,A,0,success
138,preposition,depend,depend on the factor,depend of the factor,A,A,1,success
135,preposition,depend,depend of the nature,depend on the nature,B,B,1,success
134,preposition,decrease,a decrease of number,a decrease in number,B,B,1,success
133,preposition,decrease,a decrease of activity,a decrease in activity,B,B,1,success
136,preposition,depend,depend of the type,depend on the type,B,B,1,success
137,preposition,depend,depend of the number,depend on the number,B,B,1,success
141,preposition,dependent,dependent on the factor,dependent of the factor,A,A,1,success
139,preposition,depend,depend of the size,depend on the size,B,B,1,success
140,preposition,depend,depend on the condition,depend of the condition,A,A,1,success
142,preposition,dependent,dependent on the size,dependent of the size,A,A,1,success
149,preposition,despite,despite the increase,despite of the increase,A,A,1,success
148,preposition,despite,despite of efforts,despite efforts,B,B,1,success
144,preposition,dependent,dependent on the condition,dependent of the condition,A,A,1,success
151,preposition,difference,difference of rate,difference in rate,B,B,1,success
143,preposition,dependent,dependent on the context,dependent of the context,A,A,1,success
146,preposition,dependent,dependent on the level,dependent of the level,A,A,1,success
145,preposition,dependent,dependent on the number,dependent of the number,A,A,1,success
147,preposition,despite,despite the differences,despite of the differences,A,A,1,success
153,preposition,difference,difference in behaviour,difference of behaviour,A,A,1,success
150,preposition,despite,despite of the limitations,despite the limitations,B,B,1,success
155,preposition,difference,difference in structure,difference of structure,A,A,1,success
156,preposition,difference,difference in number,difference of number,A,A,1,success
157,preposition,discuss,discuss about the issue,discuss the issue,B,B,1,success
161,preposition,discuss,discuss the results,discuss about the results,A,A,1,success
152,preposition,difference,difference in level,difference of level,A,A,1,success
158,preposition,discuss,discuss the problem,discuss about the problem,A,A,1,success
159,preposition,discuss,discuss the case,discuss about the case,A,A,1,success
154,preposition,difference,difference in size,difference of size,A,A,1,success
160,preposition,discuss,discuss about the implications,discuss the implications,B,A,0,success
163,preposition,divided,divided into sections,divided in sections,A,A,1,success
164,preposition,divided,divided in parts,divided into parts,B,B,1,success
166,preposition,divided,divided into two,divided in two,A,A,1,success
167,preposition,emphasize,emphasize the importance,emphasize on the importance,A,A,1,success
171,preposition,enter,enter the country,enter into the country,A,A,1,success
165,preposition,divided,divided into categories,divided in categories,A,A,1,success
172,preposition,enter,enter into a new phase,enter the a new phase,B,A,0,success
162,preposition,divided,divided into groups,divided in groups,A,A,1,success
169,preposition,emphasize,emphasize on the need,emphasize the need,B,B,1,success
168,preposition,emphasize,emphasize the role,emphasize on the role,A,A,1,success
170,preposition,enter,enter the market,enter into the market,A,A,1,success
176,preposition,harmful,harmful to children,harmful for children,A,A,1,success
174,preposition,harmful,harmful to health,harmful for health,A,A,1,success
173,preposition,enter,enter into the final stage,enter the final stage,B,A,0,success
178,preposition,increase,increase in the rate of,increase of the rate of,A,A,1,success
179,preposition,increase,increase of the level of,increase in the level of,B,B,1,success
175,preposition,harmful,harmful to the environment,harmful for the environment,A,A,1,success
180,preposition,increase,increase of demand,increase in demand,B,B,1,success
177,preposition,increase,increase in the number of,increase of the number of,A,A,1,success
181,preposition,increase,increase of price,increase in price,B,B,1,success
182,preposition,increase,increase of temperature,increase in temperature,B,B,1,success
184,preposition,independent,independent of one another,independent from one another,A,A,1,success
62, ing & to,afford,afford buying,afford to buy,B,A,0,success
191,preposition,interest,interest for how,interest in how,B,B,1,success
188,preposition,interest,interest in a,interest for a,A,A,1,success
185,preposition,independent,independent of size,independent from size,A,A,1,success
183,preposition,independent,independent of each other,independent from each other,A,A,1,success
193,preposition,interest,interest for understanding,interest in understanding,B,B,1,success
189,preposition,interest,interest in this,interest for this,A,A,1,success
